,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
overall_rating,1.0,0.7655934583996382,0.3574451624845233,0.329934126163816,0.31403035228828924,0.45805325748653325,0.36134228498658644,0.354161832869197,0.35747462644239697,0.34963665930617077,0.4347711868261849,0.44412194896158796,0.24376748706356263,0.2529743423639998,0.23940898576341962,0.7709369398655879,0.15981374472930954,0.42799815954780396,0.26002652670534904,0.32614719048916774,0.3175019459801319,0.392543783120053,0.3232737282956472,0.24999958321812643,0.3692810503541308,0.43091135685414395,0.39265121278860615,0.13331629843638096,0.1652776212609291,0.12931080754662602,0.027373016635260646,0.005997244136969187,0.028312912829651243,0.0072792564792940675,0.007205947055745857
potential,0.7655934583996382,1.0,0.2773113548656561,0.2873631253479114,0.2070400038271034,0.3822301212745259,0.30119167406363706,0.3393866000980471,0.295761410621226,0.2626904484248589,0.3433004267591176,0.4015930859338643,0.33794789197333075,0.339874502134621,0.2925065587289304,0.580359733796386,0.20148097410524116,0.32542081440069603,0.17579881049005094,0.2596257368605645,0.1244872498562734,0.3127729641472739,0.1629527660082714,0.16440353547324188,0.3269164862636792,0.3786884258800152,0.31518549750637087,0.055202531974902665,0.08333314328452697,0.06442676120236335,-0.01222607355521532,0.0054667800217341475,0.09148935537501485,0.004079980593859124,0.00470311040264354
crossing,0.3574451624845233,0.2773113548656561,1.0,0.5770513940563564,0.37004786943556894,0.790464992889475,0.6376577397632492,0.8096100985371385,0.7889477331455754,0.7085086009540368,0.6849949533526107,0.8076752408196964,0.599094168987518,0.5795854294161294,0.5989493824258537,0.3846870451669671,0.5181388699297396,0.6568339721014304,0.021907690024919668,0.5653785827390675,-0.07085278032920513,0.7165521360831902,0.32482092621319986,0.3071958122892368,0.6841539742531454,0.6929534805869244,0.5736795383764308,0.23603056134061404,0.2861158920064044,0.27585219656348803,-0.6047866435030437,-0.5959617040303867,-0.35522507866483893,-0.5979988443707578,-0.6019071932253944
finishing,0.329934126163816,0.2873631253479114,0.5770513940563564,1.0,0.3741574025312542,0.5802345796455914,0.8513029540118224,0.7850522167101349,0.6909398628909764,0.6328296871412459,0.34084984017000186,0.7206636539845216,0.5289966714031223,0.5094613427011446,0.5538972931896197,0.35459662147843557,0.39352745020860164,0.7277769752039654,0.009496628645108605,0.3475565030720472,-0.053000733311598325,0.8066717553746201,0.04447525101996443,-0.15125039559241601,0.8026596616606511,0.6511734958320609,0.7247884367395805,-0.28430218017450676,-0.22937872709647666,-0.26089753824949663,-0.4796877092235051,-0.46554336805212115,-0.29131047812319455,-0.47116896053138657,-0.4736466111137594
heading_accuracy,0.31403035228828924,0.2070400038271034,0.37004786943556894,0.3741574025312542,1.0,0.5490996700248142,0.3916902452336634,0.4017074338647726,0.32135167716206814,0.30719170219349673,0.3623319345641083,0.5516809032664731,0.19928570167765855,0.2667825793031061,0.06947145049249356,0.2959675732117433,0.07918934525781467,0.5414162349723015,0.2864301324693906,0.4780458992359236,0.49359298055367523,0.4067592255465166,0.5772194877590627,0.4535604398258933,0.40993610062600866,0.337306017234579,0.4315844932365845,0.4612034341733527,0.48027008321621056,0.441490219624574,-0.665960067234304,-0.6494194759402433,-0.40101526998045534,-0.6492600084359735,-0.6527618396688535
short_passing,0.45805325748653325,0.3822301212745259,0.790464992889475,0.5802345796455914,0.5490996700248142,1.0,0.6399920511950654,0.7887936399277553,0.7321034907794597,0.6933575503349886,0.801858800635557,0.8905016437567146,0.5026152368256679,0.49071819433187225,0.5102251147173644,0.4598740951048526,0.46135012836148265,0.722346100727035,0.060725301771244855,0.6107295736786846,0.09177200985556708,0.7296670383536995,0.4551038168065068,0.42594237696909065,0.6783899193259924,0.765127836234104,0.6116278830176879,0.35062465759968153,0.41634520412502996,0.3813587304041827,-0.694221887827091,-0.6899599436904619,-0.4208071208188128,-0.6911543374767205,-0.6933361849139009
volleys,0.36134228498658644,0.30119167406363706,0.6376577397632492,0.8513029540118224,0.3916902452336634,0.6399920511950654,1.0,0.7842420246714144,0.7521088259449282,0.6825430406441153,0.41382043483839154,0.7493942126480166,0.5129339823429508,0.49381732842408854,0.5595038020456742,0.3971021614822844,0.41543992555159537,0.7464575787332,0.023776317254361815,0.38229448840556834,-0.035499718674082754,0.8143158783069468,0.12755908495125526,-0.037591832374879196,0.7782570582757516,0.6896086687850084,0.7116527642881699,-0.16894944791377275,-0.1069335259613325,-0.12646024801036315,-0.5085754542170132,-0.48669909029839264,-0.2786869099448114,-0.49071997090384784,-0.49275489604672434
dribbling,0.354161832869197,0.3393866000980471,0.8096100985371385,0.7850522167101349,0.4017074338647726,0.7887936399277553,0.7842420246714144,1.0,0.8102158007951504,0.7069899993597948,0.5782396604853065,0.9016591903677179,0.6984195208579645,0.6696391867493451,0.7028610239554783,0.37757312474231686,0.5456740511158227,0.7450182546213935,0.009220163542866942,0.5266025025027029,-0.11193596730159613,0.8071028899830779,0.20452201293598743,0.10751698277321688,0.7975055524038748,0.7324720807489236,0.6620943793918553,0.005349077249992756,0.06827073746575855,0.046233579934677936,-0.6542603776459481,-0.6508617312446916,-0.4312047835044656,-0.6537725851094559,-0.6564139595758625
curve,0.35747462644239697,0.295761410621226,0.7889477331455754,0.6909398628909764,0.32135167716206814,0.7321034907794597,0.7521088259449282,0.8102158007951504,1.0,0.7971473341700779,0.585499020962482,0.7985713293395275,0.5488392372188977,0.5164799176318922,0.6188691906563983,0.3925623268449247,0.4925651976796152,0.6947870862678704,-0.01619796520896508,0.4540657401524382,-0.11343464557359215,0.7833565185139272,0.20336216035336296,0.1366960589404417,0.7199504947892907,0.7266657553281349,0.6482828844505162,0.034087978908501466,0.09560594863222258,0.08155693351475687,-0.5570002457071064,-0.5455854807313717,-0.333139422462717,-0.5504949806024028,-0.5521320908740304
free_kick_accuracy,0.34963665930617077,0.2626904484248589,0.7085086009540368,0.6328296871412459,0.30719170219349673,0.6933575503349886,0.6825430406441153,0.7069899993597948,0.7971473341700779,1.0,0.6027192949179303,0.7204614918308837,0.4300527746867775,0.39397729775744744,0.5044081807937029,0.3685026316520272,0.429753256328844,0.6839622183235591,-0.03243813728145205,0.4165276741994078,-0.056808948184710086,0.7736883055721856,0.2325723703421446,0.17751806219220995,0.6555688986716001,0.6970641081428979,0.6681883534908576,0.0744950924594279,0.13471185944482622,0.10747162494326905,-0.49877383545118525,-0.4921272214000113,-0.2780853548416759,-0.49475877190073275,-0.4963278678902363
