,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
overall_rating,1.0,0.8126120548831716,-0.007312041915554795,-0.006435140559320669,-0.012338832813500603,0.11973612812296358,-0.0012120192790310389,-0.005579942589657452,-0.02024307410972998,0.01766212598681393,0.15578504237886315,0.13490676224289735,0.22513690426207125,0.23897824912066779,0.18562677925594948,0.6346029129334848,0.09512613810934965,0.0809493606471353,0.3873075538654525,0.09407032413605981,0.24737559968370998,-0.0009130159452175908,0.18358721887332782,0.11972802685507297,0.06020734083717199,0.18255121239852337,0.16593498920996239,-0.016847180842933098,-0.013729783462112883,-0.016095902779952338,0.9097921091101194,0.8815807763595619,0.6608985868357334,0.8897440371489223,0.9039134302150028
potential,0.8126120548831716,1.0,-0.002155505830802367,-0.01785976438554705,0.008316578121651036,0.11377984282926068,-0.07342073200703458,-0.0014040956947598015,-0.08220222680038122,0.010145141086240919,0.24306243378555986,0.1117734382653287,0.2729642325688748,0.2619224167726812,0.1854131580305651,0.48260294527681236,0.1360144933273288,0.0984467361842091,0.3382041924569636,0.1795090048803474,0.13854964596180544,-0.002034316967228912,0.15128355657140688,0.20086475143675273,0.12980054156708132,0.2072975108112694,0.23641515440362917,-0.010148683537416608,0.0003924809108306563,-0.0502744075666708,0.7560990219915761,0.7202156530179501,0.5511018333616338,0.6752094031637237,0.774189118278003
crossing,-0.007312041915554795,-0.002155505830802367,1.0,0.8207263472516857,0.7611927043234583,0.1817219307995421,0.6267641370546044,0.802382206450929,0.6242485115907705,0.432469130110859,0.3156307990173311,0.23702258351722363,0.030626312232085,0.0031473484204801627,0.010648692450189609,0.009389911498688487,0.033038037746249894,0.15614637247964705,-0.0022024686137242775,-0.05396492391732104,-0.022779866031226913,0.7802073903553282,-0.0239917226603652,0.3219981023074985,0.511164921923796,0.03443943959673485,0.3347524700674828,0.8156899901402316,0.7868092523624778,0.6292663744022051,-0.018426801996214062,-0.014789146077111705,0.006485969749342624,-0.017815962955046373,-0.0058154943820969696
finishing,-0.006435140559320669,-0.01785976438554705,0.8207263472516857,1.0,0.7456270031165708,0.14951310044884292,0.624615326192862,0.8006622639727479,0.5942067517156759,0.4175059252423921,0.3108091048273206,0.2208368224123142,-0.0017608851946654682,-0.016208899010542656,-0.012730653894974948,0.02160629577809576,0.009778839223678346,0.16369203749354522,0.0017526810068943918,-0.07837002998453195,-0.011878117413516902,0.7944779259818093,-0.041655926479680014,0.31009710487358827,0.5081616210591487,-0.0009102965051870133,0.3394062671367429,0.8278885388846677,0.7793839548520981,0.608893123306495,-0.009732267388595476,-0.018607996265115393,0.0010607916754197056,-0.017956711386749275,-0.0035508915728773363
heading_accuracy,-0.012338832813500603,0.008316578121651036,0.7611927043234583,0.7456270031165708,1.0,0.2176399101494235,0.5512742719216228,0.7526144812370305,0.5367282051018422,0.4166763935156619,0.3407795662175087,0.2549754243487161,0.03877390863162642,0.010171595945119571,0.034038580820347296,0.011923790908847239,0.06519308202482438,0.2287378479992041,0.018928880048403273,0.014226897460915232,-0.0008150242966971289,0.6942916522018338,0.0003214175256418283,0.329258557716422,0.482187500005698,0.09694214053898477,0.34541412829082657,0.7555337996132185,0.780564390701807,0.5880227532668458,-0.02833439872205807,-0.017325215565002796,0.008657703294843281,-0.019104986514681753,-0.01570859240382968
short_passing,0.11973612812296358,0.11377984282926068,0.1817219307995421,0.14951310044884292,0.2176399101494235,1.0,0.2037948114355272,0.20701904615838057,0.15861841009195388,0.08673427826461498,0.24603967601955964,0.3607884727806509,0.13543347257193952,0.1080610468896797,0.11805145386666933,0.1598992286168819,0.04484251462828755,0.343549534900887,0.09413450367835556,0.0421948827062524,0.06897255824703706,0.15763491769604124,0.015441465332258866,0.01105135611661834,0.08477236550416292,0.007894192575562405,0.12502621429398486,0.16860023167688248,0.2049261807835358,0.20221750139657504,0.11510366278291714,0.06439722770225483,0.11945606312308803,0.08032321187902128,0.12116640845727167
volleys,-0.0012120192790310389,-0.07342073200703458,0.6267641370546044,0.624615326192862,0.5512742719216228,0.2037948114355272,1.0,0.611912471953213,0.7099020367136125,0.43597789181570074,-0.06782577265158633,0.18294402839405477,-0.05649534396846946,-0.05963279684651594,-0.06601512241881216,0.09339342348655973,-0.09725871108695772,0.15198755690151777,-0.042709546463940776,-0.22311047976646506,0.03546016274761298,0.6245632675243709,-0.16973097419663172,-0.055758794324244944,0.22204647622382767,-0.17743618871236339,0.025702291906001477,0.6133718963595188,0.5893062591211428,0.6799279386823692,-0.0012876256247890804,-0.020796676428202363,0.004244440184043617,-0.008354979448421186,-0.00734692778245969
dribbling,-0.005579942589657452,-0.0014040956947598015,0.802382206450929,0.8006622639727479,0.7526144812370305,0.20701904615838057,0.611912471953213,1.0,0.600793001399862,0.4138570004213859,0.31473129135643374,0.3245138333258925,0.031470509379177995,0.01933963147341474,0.032966633330915124,0.03955719479329274,0.02812280026233577,0.21032819834071362,0.01960056705048895,-0.04911136161708403,-0.009284910821395808,0.7581156063008866,-0.02651264148616388,0.3127069979172326,0.49672903757008985,0.04672209868275687,0.34978176667739325,0.7974724694990231,0.7694606150329099,0.62078914527437,-0.012820908826166195,-0.013262563514453376,-0.008295561811170998,-0.025046980128191794,-0.0008791195440735191
curve,-0.02024307410972998,-0.08220222680038122,0.6242485115907705,0.5942067517156759,0.5367282051018422,0.15861841009195388,0.7099020367136125,0.600793001399862,1.0,0.44766842979412125,-0.06047603819280413,0.18365210259752326,-0.029533442981984535,-0.041289973457677175,-0.039827939725341176,0.027477177406774585,-0.08323352061841084,0.12425390161910553,-0.01898636137338818,-0.20886903254959122,0.011672105252545648,0.6020705390319231,-0.15434744521336463,-0.03871455017949031,0.22853346920260809,-0.15561205229866545,0.032122560684650144,0.5781728011512809,0.560753046574944,0.6491894168278389,-0.008718560748779943,-0.03749735548022104,-0.01064097331852901,-0.028107469922703136,-0.02331188921876018
free_kick_accuracy,0.01766212598681393,0.010145141086240919,0.432469130110859,0.4175059252423921,0.4166763935156619,0.08673427826461498,0.43597789181570074,0.4138570004213859,0.44766842979412125,1.0,0.17218000811843082,0.16129229089835967,0.041733342795991085,0.027769407621262197,-0.009968687248597627,0.011815527405865684,0.017369948223382312,0.13065074432907073,0.013284499817175268,0.0015605099232947047,0.028243520363166498,0.37419613283787295,-0.008975384619501864,0.21265338293320638,0.33051367340981463,0.02761174548771484,0.277257261224239,0.4337111275754202,0.4319034909259597,0.4190538977245982,0.0005781957575168927,0.009142367571527883,0.03498386617871709,0.0027649623340664843,0.008408952721161385
long_passing,0.15578504237886315,0.24306243378555986,0.3156307990173311,0.3108091048273206,0.3407795662175087,0.24603967601955964,-0.06782577265158633,0.31473129135643374,-0.06047603819280413,0.17218000811843082,1.0,0.22573286104310636,0.20294755453231791,0.17208026816705455,0.20952529630113736,0.019474793588137227,0.26841576378907844,0.20646223334649094,0.17073550979584237,0.39631327574217334,-0.01265346794870792,0.25181378764582657,0.3151718613365952,0.7685771225046812,0.5798194632478544,0.43347027744803623,0.7211140352064163,0.3177713431849975,0.34975043360055913,0.06205853573802957,0.10591955227839162,0.16427164563693003,0.21111101478151412,0.12548060699719835,0.13140877771871948
