,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
695,696,197233,189181,4/21/2016 0:00,69,74,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
696,697,197233,189181,3/31/2016 0:00,69,75,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
697,698,197233,189181,1/7/2016 0:00,69,76,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
698,699,197233,189181,10/2/2015 0:00,69,76,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
699,700,197233,189181,9/21/2015 0:00,67,74,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,32,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,66,63,62,65,75
700,701,197233,189181,7/3/2015 0:00,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
701,702,197233,189181,4/17/2015 0:00,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
702,703,197233,189181,4/1/2015 0:00,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
703,704,197233,189181,2/13/2015 0:00,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
704,705,197233,189181,7/18/2014 0:00,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
705,706,197233,189181,2/7/2014 0:00,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
706,707,197233,189181,9/20/2013 0:00,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
707,708,197233,189181,5/24/2013 0:00,66,76,right,medium,medium,11,10,12,33,13,14,14,13,24,28,42,32,57,70,52,34,66,46,75,11,17,23,10,33,25,18,19,11,65,62,61,64,74
708,709,197233,189181,2/15/2013 0:00,66,76,right,medium,medium,11,10,12,33,13,14,14,13,24,28,42,32,57,70,52,34,66,46,75,11,17,23,10,33,25,18,19,11,65,62,61,64,74
709,710,197233,189181,8/30/2011 0:00,66,76,right,medium,medium,11,10,12,33,13,14,14,13,24,28,42,32,57,70,52,34,66,46,55,11,17,23,10,33,25,18,19,11,65,62,61,64,74
710,711,197233,189181,2/22/2011 0:00,66,75,right,medium,medium,11,10,12,39,13,14,14,13,24,28,42,32,57,70,58,45,66,46,55,11,17,23,10,33,25,18,19,20,65,62,61,64,74
1219,1220,163901,41489,7/3/2015 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,32,25,25,25,22,25,25,25,60,61,53,62,64
1220,1221,163901,41489,6/12/2015 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,32,25,25,25,22,25,25,25,60,61,53,62,64
1221,1222,163901,41489,1/23/2015 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,32,25,25,25,22,25,25,25,60,61,53,62,64
1222,1223,163901,41489,10/17/2014 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,32,25,25,25,22,25,25,25,60,61,53,62,64
1223,1224,163901,41489,9/18/2014 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1224,1225,163901,41489,11/29/2013 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1225,1226,163901,41489,9/20/2013 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1226,1227,163901,41489,4/12/2013 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1227,1228,163901,41489,3/22/2013 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1228,1229,163901,41489,3/8/2013 0:00,61,61,left,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1229,1230,163901,41489,3/1/2013 0:00,61,61,right,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1230,1231,163901,41489,2/15/2013 0:00,61,61,right,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,25,22,25,25,25,60,61,53,62,64
1231,1232,163901,41489,8/31/2012 0:00,61,61,right,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,34,25,25,21,22,25,25,25,60,61,53,62,64
1232,1233,163901,41489,2/22/2012 0:00,61,65,right,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,52,60,30,40,66,35,61,25,34,25,25,43,22,25,25,25,60,61,53,62,64
1233,1234,163901,41489,8/30/2011 0:00,61,63,right,medium,medium,25,25,25,25,25,25,25,25,31,22,42,42,52,60,30,40,66,35,61,25,34,25,25,43,22,25,25,25,60,61,53,62,64
1234,1235,163901,41489,2/22/2011 0:00,60,68,right,medium,medium,22,13,12,25,25,25,12,25,31,22,42,42,52,59,37,20,56,36,31,25,34,25,25,43,21,25,25,25,58,61,67,62,60
1235,1236,163901,41489,8/30/2010 0:00,60,61,right,medium,medium,22,9,32,25,24,28,12,30,31,22,42,42,52,59,37,20,56,36,31,25,34,25,25,43,21,25,27,24,58,61,67,62,60
1236,1237,163901,41489,2/22/2009 0:00,60,61,right,medium,medium,22,9,32,25,24,28,12,30,31,22,42,42,52,59,37,20,56,36,31,25,34,25,25,43,21,25,27,24,58,61,67,62,60
1415,1416,184585,157303,3/17/2016 0:00,73,73,right,medium,medium,15,11,11,16,11,11,18,12,12,18,52,56,35,67,41,16,63,33,74,14,20,24,13,38,18,15,11,16,77,71,66,71,78
1416,1417,184585,157303,9/21/2015 0:00,73,73,right,medium,medium,15,11,11,16,11,11,18,12,12,18,52,56,35,67,41,16,63,33,74,14,20,24,13,18,18,15,11,16,77,71,66,71,78
1417,1418,184585,157303,10/2/2014 0:00,70,70,right,medium,medium,25,25,25,25,25,25,25,25,25,25,52,56,35,66,41,35,63,33,74,25,25,23,25,25,25,25,25,25,73,66,62,70,74
1418,1419,184585,157303,9/18/2014 0:00,70,73,right,medium,medium,25,25,25,25,25,25,25,25,25,25,52,56,35,66,41,35,63,33,74,25,25,23,25,25,25,25,25,25,73,66,62,70,74
